char_code,dt,nominal,name,value,num_code
CAD,2018-03-28,1,Канадский доллар,44.487,124
CHF,2018-03-28,1,Швейцарский франк,60.4831,756
CNY,2018-03-28,10,Китайских юаней,91.1383,156
CZK,2018-03-28,10,Чешских крон,27.9774,203
DKK,2018-03-28,10,Датских крон,95.6035,208
EUR,2018-03-28,1,Евро,71.2625,978
GBP,2018-03-28,1,Фунт стерлингов Соединенного королевства,81.0451,826
HKD,2018-03-28,10,Гонконгских долларов,72.8684,344
HUF,2018-03-28,100,Венгерских форинтов,22.767,348
INR,2018-03-28,100,Индийских рупий,88.1645,356
JPY,2018-03-28,100,Японских иен,54.1786,392
KGS,2018-03-28,100,Киргизских сомов,83.8585,417
KRW,2018-03-28,1000,Вон Республики Корея,53.36,410
KZT,2018-03-28,100,Казахстанских тенге,17.9358,398
MDL,2018-03-28,10,Молдавских леев,34.7197,498
NOK,2018-03-28,10,Норвежских крон,74.4433,578
PLN,2018-03-28,1,Польский злотый,16.8911,985
RON,2018-03-28,1,Румынский лей,15.3025,946
SEK,2018-03-28,10,Шведских крон,69.7925,752
SGD,2018-03-28,1,Сингапурский доллар,43.7249,702
TJS,2018-03-28,10,Таджикских сомони,64.7872,972
TMT,2018-03-28,1,Новый туркменский манат,16.359,934
TRY,2018-03-28,1,Турецкая лира,14.3854,949
UAH,2018-03-28,10,Украинских гривен,21.725,980
USD,2018-03-28,1,Доллар США,57.1747,840
UZS,2018-03-28,10000,Узбекских сумов,70.2392,860
XDR,2018-03-28,1,СДР (специальные права заимствования),83.4739,960
ZAR,2018-03-28,10,Южноафриканских рэндов,49.029,710
AMD,2018-03-29,100,Армянских драмов,11.9841,051
AUD,2018-03-29,1,Австралийский доллар,44.1138,036
AZN,2018-03-29,1,Азербайджанский манат,33.809,944
BGN,2018-03-29,1,Болгарский лев,36.4949,975
BRL,2018-03-29,1,Бразильский реал,17.3055,986
BYN,2018-03-29,1,Белорусский рубль,29.5178,933
CAD,2018-03-29,1,Канадский доллар,44.6165,124
CHF,2018-03-29,1,Швейцарский франк,60.6403,756
CNY,2018-03-29,10,Китайских юаней,91.5275,156
CZK,2018-03-29,10,Чешских крон,28.041,203
DKK,2018-03-29,10,Датских крон,95.8228,208
EUR,2018-03-29,1,Евро,71.3339,978
GBP,2018-03-29,1,Фунт стерлингов Соединенного королевства,81.5795,826
HKD,2018-03-29,10,Гонконгских долларов,73.3507,344
HUF,2018-03-29,100,Венгерских форинтов,22.8448,348
INR,2018-03-29,100,Индийских рупий,88.5331,356
JPY,2018-03-29,100,Японских иен,54.5151,392
KGS,2018-03-29,100,Киргизских сомов,84.275,417
KRW,2018-03-29,1000,Вон Республики Корея,53.8121,410
KZT,2018-03-29,100,Казахстанских тенге,18.0297,398
MDL,2018-03-29,10,Молдавских леев,34.9642,498
NOK,2018-03-29,10,Норвежских крон,74.1893,578
PLN,2018-03-29,1,Польский злотый,16.9548,985
RON,2018-03-29,1,Румынский лей,15.3325,946
SEK,2018-03-29,10,Шведских крон,69.4596,752
SGD,2018-03-29,1,Сингапурский доллар,43.9925,702
TJS,2018-03-29,10,Таджикских сомони,65.2236,972
TMT,2018-03-29,1,Новый туркменский манат,16.4692,934
TRY,2018-03-29,1,Турецкая лира,14.4062,949
UAH,2018-03-29,10,Украинских гривен,21.7947,980
USD,2018-03-29,1,Доллар США,57.5598,840
UZS,2018-03-29,10000,Узбекских сумов,70.721,860
XDR,2018-03-29,1,СДР (специальные права заимствования),83.9395,960
ZAR,2018-03-29,10,Южноафриканских рэндов,49.2377,710
AMD,2018-03-30,100,Армянских драмов,12.0464,051
AUD,2018-03-30,1,Австралийский доллар,44.3039,036
